id,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,labels,funding_total_usd_log,category_code_encoded,funding_duration,milestone_duration,milestones_per_year,avg_participants_per_round,situacao_funding
719,10.42,13.09,8.98,12.72,4,3,3,1,0,0,0,0,1,1,0,0,0,0,1.0,0,15.223444338835934,8,2.67,3.74,0.8174386920980926,0.25,Múltiplas rodadas de funding
429,3.79,3.79,-1.0,-1.0,21,1,0,0,1,0,0,0,0,0,0,1,0,0,1.0,1,17.622173069956816,0,0.0,0.0,0.0,0.5,Apenas uma rodada de funding
178,0.71,2.28,1.95,2.28,5,2,2,1,0,0,0,0,1,0,1,0,0,0,1.0,0,15.46416937585933,22,1.5699999999999998,0.32999999999999985,0.7782101167315175,0.3333333333333333,Múltiplas rodadas de funding
197,3.0,5.0,9.62,10.39,16,2,2,0,0,1,0,0,0,1,0,1,0,0,2.0,1,16.489659276356317,0,2.0,0.7700000000000014,0.6666666666666666,0.6666666666666666,Múltiplas rodadas de funding
444,0.66,5.88,6.21,8.61,29,5,4,1,0,0,0,0,0,0,1,1,1,1,2.8,1,18.064005814299346,33,5.22,2.3999999999999995,0.6430868167202572,0.4666666666666666,Múltiplas rodadas de funding
67,1.09,1.09,-1.0,-1.0,5,1,0,0,0,0,0,1,1,0,0,0,0,0,4.0,0,16.835935492889124,29,0.0,0.0,0.0,2.0,Apenas uma rodada de funding
505,0.65,0.65,-1.0,-1.0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1.0,0,13.710151153416941,29,0.0,0.0,0.0,0.5,Apenas uma rodada de funding
410,0.34,5.22,3.0,6.03,5,4,3,0,0,1,0,0,1,0,1,1,1,0,3.0,1,17.70180543534093,29,4.88,3.0300000000000002,0.5102040816326531,0.6,Múltiplas rodadas de funding
284,0.0,0.0,0.74,0.74,2,1,1,1,0,0,0,0,0,1,0,0,0,0,2.0,0,10.819798284210286,11,0.0,0.0,1.0,1.0,Recebeu funding no 1º ano
252,0.08,4.33,3.66,5.61,12,7,5,0,1,0,0,0,1,1,1,1,1,1,3.1667,1,18.300219382280847,17,4.25,1.9500000000000002,0.9523809523809523,0.3958375,Múltiplas rodadas de funding
324,0.75,3.07,3.92,4.5,16,3,2,1,0,0,0,0,0,1,0,0,0,0,3.6667,1,14.508658238524095,30,2.32,0.5800000000000001,0.6024096385542169,0.916675,Múltiplas rodadas de funding
105,1.25,1.25,2.17,4.6,21,2,2,1,0,0,0,0,0,1,1,0,0,0,4.0,1,15.607270193858982,33,0.0,2.4299999999999997,2.0,1.3333333333333333,Apenas uma rodada de funding
673,1.28,2.01,2.16,3.44,12,2,3,1,0,0,0,0,0,0,1,1,0,0,4.0,1,15.555976908243359,8,0.7299999999999998,1.2799999999999998,1.7341040462427748,1.3333333333333333,Múltiplas rodadas de funding
749,0.0,0.0,0.33,0.33,2,1,1,0,1,0,0,0,0,0,0,0,0,0,6.0,0,14.220976332738882,9,0.0,0.0,1.0,3.0,Recebeu funding no 1º ano
211,2.24,4.03,-1.0,-1.0,3,2,0,0,0,1,0,0,0,0,0,1,1,0,2.5,1,16.59432989206649,29,1.79,0.0,0.0,0.8333333333333334,Múltiplas rodadas de funding
841,0.0,0.0,-1.0,-1.0,21,1,2,1,0,0,0,0,1,0,0,0,0,0,4.0,1,15.551581297543178,33,0.0,0.0,2.0,2.0,Recebeu funding no 1º ano
48,0.25,0.25,1.12,1.66,9,1,2,0,0,1,0,0,0,0,1,0,0,0,1.0,1,14.914123179965662,29,0.0,0.5399999999999998,2.0,0.5,Apenas uma rodada de funding
381,0.22,2.05,0.04,3.92,8,4,3,0,1,0,0,0,1,0,1,0,0,0,1.5,1,15.068272955030908,0,1.8299999999999998,3.88,1.0600706713780919,0.3,Múltiplas rodadas de funding
315,0.75,7.82,4.32,5.9,16,7,3,0,0,0,0,1,1,0,1,1,0,0,1.3333,0,17.08852678037267,33,7.07,1.58,0.37174721189591076,0.1666625,Múltiplas rodadas de funding
831,1.23,1.23,0.32,1.3,4,2,2,1,0,0,0,0,0,1,0,0,0,0,3.0,1,14.151983508870947,8,0.0,0.98,2.0,1.0,Apenas uma rodada de funding
130,2.42,5.44,2.0,2.0,2,3,1,1,0,0,0,0,1,0,0,1,0,0,3.5,1,17.077445910607096,27,3.0200000000000005,0.0,0.24875621890547261,0.875,Múltiplas rodadas de funding
452,3.6,7.93,8.59,9.11,1,3,2,0,0,0,0,1,0,0,0,1,1,1,4.5,1,16.88173223597427,29,4.33,0.5199999999999996,0.37523452157598497,1.125,Múltiplas rodadas de funding
580,2.21,4.65,-1.0,-1.0,1,2,1,0,0,0,1,0,1,0,0,0,1,0,2.0,1,16.811242881518265,26,2.4400000000000004,0.0,0.2906976744186046,0.6666666666666666,Múltiplas rodadas de funding
599,1.46,6.39,6.42,6.42,4,3,1,1,0,0,0,0,0,0,1,1,1,0,5.0,1,17.87595358575207,3,4.93,0.0,0.16863406408094436,1.25,Múltiplas rodadas de funding
194,1.16,3.04,3.27,5.54,7,2,2,1,0,0,0,0,0,0,1,1,0,0,3.5,1,17.858561843342684,33,1.8800000000000001,2.27,0.6944444444444444,1.1666666666666667,Múltiplas rodadas de funding
754,1.59,1.59,1.19,2.55,6,1,2,1,0,0,0,0,0,0,1,0,0,0,2.0,1,14.914123179965662,29,0.0,1.3599999999999999,2.0,1.0,Apenas uma rodada de funding
485,1.59,3.18,-1.0,-1.0,1,3,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1,16.99979497947072,27,1.59,0.0,0.0,0.5,Múltiplas rodadas de funding
487,1.42,3.33,4.42,9.82,11,2,3,1,0,0,0,0,0,0,1,1,0,0,3.5,1,17.399029524198163,12,1.9100000000000001,5.4,1.0309278350515463,1.1666666666666667,Múltiplas rodadas de funding
299,4.3,4.3,-1.0,-1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1.0,0,14.77102238760702,23,0.0,0.0,0.0,0.5,Apenas uma rodada de funding
223,1.25,1.25,2.59,2.59,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,14.220976332738882,6,0.0,0.0,1.0,0.5,Apenas uma rodada de funding
220,4.04,4.04,6.0,6.0,10,1,1,0,1,0,0,0,0,0,1,0,0,0,1.0,1,16.811242881518265,0,0.0,0.0,1.0,0.5,Apenas uma rodada de funding
764,0.63,0.63,0.59,3.01,8,2,2,1,0,0,0,0,0,1,1,0,0,0,5.0,1,14.74570458948466,33,0.0,2.42,2.0,1.6666666666666667,Apenas uma rodada de funding
807,0.16,1.5,3.16,5.55,6,2,2,1,0,0,0,0,0,1,1,0,0,0,1.0,1,15.068273812173887,29,1.34,2.3899999999999997,0.8547008547008548,0.3333333333333333,Múltiplas rodadas de funding
798,0.86,2.93,3.0,3.0,4,3,1,1,0,0,0,0,0,0,1,1,0,0,2.0,1,16.759949589762293,8,2.0700000000000003,0.0,0.3257328990228013,0.5,Múltiplas rodadas de funding
